from,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-10-12T01:30Z,10.6,1.4,31.5,2.6,18.5,20.1,0.0,0.0,15.3
2023-10-12T02:00Z,10.6,1.9,31.5,2.7,19.5,20.1,0.0,0.0,13.7
2023-10-12T02:30Z,11.2,2.1,33.9,2.8,15.7,21.0,0.0,0.0,13.4
2023-10-12T03:00Z,10.9,1.9,33.1,3.9,18.2,20.2,0.0,0.0,11.7
2023-10-12T03:30Z,10.8,1.7,41.1,4.5,11.8,20.1,0.0,0.0,10.0
2023-10-12T04:00Z,10.3,1.5,46.9,4.2,11.2,18.7,0.0,0.1,7.2
2023-10-12T04:30Z,8.9,2.2,57.0,4.2,5.5,16.3,0.0,0.0,6.0
2023-10-12T05:00Z,8.0,3.5,59.4,4.1,4.9,14.6,0.0,0.0,5.4
2023-10-12T05:30Z,7.6,4.3,57.9,4.1,7.1,14.0,0.0,0.0,5.0
2023-10-12T06:00Z,7.4,4.4,58.1,3.9,7.1,13.6,0.0,0.0,5.4
2023-10-12T06:30Z,7.0,4.3,56.0,3.7,9.8,13.2,0.0,0.0,5.9
2023-10-12T07:00Z,6.9,4.2,55.5,3.5,9.8,12.9,0.0,0.7,6.3
2023-10-12T07:30Z,6.7,4.1,53.4,3.4,11.4,12.5,0.0,2.1,6.5
2023-10-12T08:00Z,6.7,4.0,52.7,3.1,11.3,12.4,0.0,3.4,6.4
2023-10-12T08:30Z,6.7,4.0,52.8,2.8,9.9,12.2,0.0,4.7,6.8
2023-10-12T09:00Z,6.6,3.9,51.7,2.8,9.7,12.0,0.0,5.7,7.4
2023-10-12T09:30Z,6.6,3.9,51.4,2.7,8.5,12.0,0.0,6.8,8.0
2023-10-12T10:00Z,6.6,3.9,50.2,2.3,8.4,11.9,0.0,7.8,8.9
2023-10-12T10:30Z,6.1,3.8,49.6,1.9,8.9,11.7,0.0,8.4,9.5
2023-10-12T11:00Z,6.1,3.8,49.0,1.8,8.7,11.6,0.0,9.0,10.1
2023-10-12T11:30Z,6.2,3.8,50.0,1.8,6.5,11.8,0.0,9.2,10.8
2023-10-12T12:00Z,6.1,3.8,49.8,1.7,6.3,11.7,0.0,8.9,11.6
2023-10-12T12:30Z,6.1,3.8,50.2,1.9,6.0,11.7,0.0,8.5,11.8
2023-10-12T13:00Z,6.1,3.8,50.6,2.2,6.1,11.7,0.0,7.9,11.5
2023-10-12T13:30Z,6.1,3.9,50.6,2.7,6.0,11.8,0.0,7.1,11.8
2023-10-12T14:00Z,6.1,3.8,50.9,3.3,5.9,11.7,0.0,5.9,12.4
2023-10-12T14:30Z,6.2,3.9,50.3,3.9,6.6,11.9,0.0,4.6,12.6
2023-10-12T15:00Z,6.1,3.9,50.9,4.9,6.5,11.8,0.0,3.3,12.6
2023-10-12T15:30Z,6.1,3.8,51.4,5.9,7.2,11.6,0.0,2.1,11.8
2023-10-12T16:00Z,6.1,3.8,52.5,6.1,7.1,11.6,0.0,1.1,11.8
2023-10-12T16:30Z,6.1,3.9,54.1,6.2,5.3,11.9,0.0,0.3,12.2
2023-10-12T17:00Z,6.2,3.8,54.3,5.3,5.5,11.9,0.0,0.0,13.0
2023-10-12T17:30Z,6.2,3.7,53.9,4.5,6.3,11.9,0.0,0.0,13.4
2023-10-12T18:00Z,6.4,3.9,54.1,2.8,6.3,12.2,0.0,0.0,14.4
2023-10-12T18:30Z,6.4,3.9,53.9,2.7,5.1,12.2,0.0,0.0,15.7
2023-10-12T19:00Z,6.6,4.0,51.6,3.1,5.3,12.5,0.0,0.0,16.8
2023-10-12T19:30Z,7.1,3.3,49.2,3.1,5.4,13.3,0.0,0.0,18.7
2023-10-12T20:00Z,7.5,0.9,48.2,3.0,5.7,13.4,0.0,0.0,21.3
2023-10-12T20:30Z,7.6,0.3,47.9,2.7,4.9,13.1,0.0,0.0,23.5
2023-10-12T21:00Z,7.6,0.4,42.5,3.1,5.8,15.9,0.0,0.0,24.6
2023-10-12T21:30Z,7.4,0.6,33.3,3.0,11.8,17.8,0.0,0.0,26.2
2023-10-12T22:00Z,9.9,0.7,28.1,2.9,9.8,18.0,0.0,0.0,30.6
2023-10-12T22:30Z,9.7,0.6,24.8,2.7,11.3,18.1,0.0,0.0,32.8
2023-10-12T23:00Z,9.5,0.5,21.5,2.5,11.9,19.1,0.0,0.0,35.0
2023-10-12T23:30Z,10.3,0.5,18.8,2.4,12.7,19.6,0.0,0.0,35.8
2023-10-13T00:00Z,10.3,0.5,18.3,2.3,12.5,19.6,0.0,0.0,36.5
2023-10-13T00:30Z,10.3,0.5,18.4,2.3,12.5,19.5,0.0,0.0,36.5
2023-10-13T01:00Z,10.0,0.4,17.4,2.3,11.4,20.0,0.0,0.0,38.6
