from,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-04-03T02:30Z,8.4,0.0,36.6,0.7,12.2,15.9,0.0,0.0,26.2
2023-04-03T03:00Z,8.4,0.0,36.1,0.7,12.1,15.9,0.0,0.0,26.8
2023-04-03T03:30Z,8.1,0.0,40.0,0.7,8.9,15.3,0.0,0.0,26.9
2023-04-03T04:00Z,7.7,0.0,42.3,1.0,8.3,14.5,0.0,0.0,26.3
2023-04-03T04:30Z,7.1,0.0,45.5,1.1,7.1,13.5,0.0,0.0,25.7
2023-04-03T05:00Z,6.8,0.0,45.9,1.4,6.9,12.9,0.0,0.0,26.0
2023-04-03T05:30Z,6.4,0.0,43.6,2.0,11.0,12.1,0.0,0.0,24.9
2023-04-03T06:00Z,6.3,0.0,43.2,2.7,10.7,11.9,0.0,1.1,24.1
2023-04-03T06:30Z,6.1,0.0,41.5,3.1,11.5,11.4,0.0,3.1,23.3
2023-04-03T07:00Z,6.0,0.0,40.9,2.5,10.9,11.3,0.0,5.7,22.8
2023-04-03T07:30Z,5.7,0.0,37.7,1.6,14.6,10.8,0.0,8.0,21.7
2023-04-03T08:00Z,5.6,0.0,35.8,1.3,14.4,10.6,0.0,10.6,22.0
2023-04-03T08:30Z,5.5,0.0,35.0,1.2,12.3,10.5,0.0,12.9,22.6
2023-04-03T09:00Z,5.5,0.0,33.1,0.9,12.0,10.5,0.0,15.1,22.8
2023-04-03T09:30Z,5.6,0.0,32.8,0.8,10.0,10.7,0.0,16.7,23.5
2023-04-03T10:00Z,5.7,0.0,31.0,0.8,9.9,10.7,0.0,17.9,24.0
2023-04-03T10:30Z,5.6,0.0,27.6,0.6,12.1,10.7,0.0,19.3,24.1
2023-04-03T11:00Z,5.7,0.0,25.5,0.5,12.5,10.8,0.0,21.3,23.7
2023-04-03T11:30Z,5.7,0.0,24.1,0.5,13.0,10.9,0.0,22.9,23.0
2023-04-03T12:00Z,5.8,0.0,22.6,0.5,13.0,11.0,0.0,24.2,22.9
2023-04-03T12:30Z,5.9,0.0,24.1,0.5,10.4,11.1,0.0,25.1,22.9
2023-04-03T13:00Z,5.7,0.0,23.8,0.5,10.3,11.3,0.0,24.9,23.4
2023-04-03T13:30Z,5.4,0.0,26.7,0.5,7.9,11.4,0.0,24.1,23.8
2023-04-03T14:00Z,5.4,0.0,28.4,0.6,7.9,11.5,0.0,22.5,23.5
2023-04-03T14:30Z,5.7,0.0,28.5,0.6,9.5,11.6,0.0,20.4,23.7
2023-04-03T15:00Z,5.9,0.0,31.3,0.8,9.9,11.4,0.0,17.5,23.3
2023-04-03T15:30Z,5.8,0.0,34.1,1.5,9.4,11.2,0.0,14.4,23.7
2023-04-03T16:00Z,5.6,0.0,36.6,3.0,9.0,10.9,0.0,11.3,23.8
2023-04-03T16:30Z,5.6,0.0,38.0,4.1,8.7,10.9,0.0,8.4,24.2
2023-04-03T17:00Z,5.7,0.0,40.0,4.3,8.6,11.1,0.0,5.6,24.7
2023-04-03T17:30Z,5.8,0.0,40.9,4.9,9.0,11.3,0.0,2.9,25.2
2023-04-03T18:00Z,5.9,0.0,42.4,4.0,9.1,11.6,0.0,0.7,26.3
2023-04-03T18:30Z,5.9,0.0,41.9,2.8,11.3,11.6,0.0,0.0,26.6
2023-04-03T19:00Z,5.6,0.0,41.0,2.6,11.4,11.7,0.0,0.0,27.7
2023-04-03T19:30Z,5.6,0.0,41.0,1.8,11.1,11.9,0.0,0.0,28.7
2023-04-03T20:00Z,5.6,0.0,40.8,1.2,11.3,12.3,0.0,0.0,28.7
2023-04-03T20:30Z,5.6,0.0,42.4,0.9,8.1,13.0,0.0,0.0,30.1
2023-04-03T21:00Z,6.4,0.0,39.6,0.6,8.3,13.6,0.0,0.0,31.4
2023-04-03T21:30Z,7.4,0.0,37.5,0.6,6.8,14.3,0.0,0.0,33.4
2023-04-03T22:00Z,7.8,0.0,36.4,0.6,6.8,14.8,0.0,0.0,33.7
2023-04-03T22:30Z,8.1,0.0,37.5,0.6,5.4,15.4,0.0,0.0,33.0
2023-04-03T23:00Z,8.1,0.0,39.0,0.6,5.6,15.5,0.0,0.0,31.1
2023-04-03T23:30Z,8.0,0.0,39.0,0.6,7.5,15.4,0.0,0.0,29.4
2023-04-04T00:00Z,8.0,0.0,41.2,0.6,7.5,15.3,0.0,0.0,27.4
2023-04-04T00:30Z,8.0,0.0,40.3,0.6,8.8,15.3,0.0,0.0,27.1
2023-04-04T01:00Z,8.0,0.0,40.6,0.6,8.9,15.4,0.0,0.0,26.6
2023-04-04T01:30Z,8.1,0.0,40.9,0.6,8.1,15.5,0.0,0.0,26.8
2023-04-04T02:00Z,8.3,0.0,40.8,0.6,7.9,15.9,0.0,0.0,26.4
