from,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-06-08T06:00Z,2.5,0.0,31.7,0.4,12.8,21.7,0.0,6.5,24.4
2023-06-08T06:30Z,2.2,0.0,32.0,0.5,13.2,20.8,0.0,8.2,23.0
2023-06-08T07:00Z,2.5,0.0,34.7,0.5,16.8,17.7,0.0,8.5,19.2
2023-06-08T07:30Z,2.5,0.0,34.8,0.3,15.1,17.3,0.0,11.1,18.9
2023-06-08T08:00Z,2.5,0.0,32.3,0.2,14.9,17.2,0.0,14.1,18.9
2023-06-08T08:30Z,2.4,0.0,32.7,0.1,11.2,17.3,0.0,17.3,19.0
2023-06-08T09:00Z,2.3,0.0,29.9,0.1,11.1,17.2,0.0,20.3,19.0
2023-06-08T09:30Z,2.4,0.0,24.1,0.1,14.6,17.0,0.0,22.9,19.0
2023-06-08T10:00Z,2.4,0.0,23.2,0.1,11.9,17.2,0.0,25.5,19.7
2023-06-08T10:30Z,2.4,0.0,22.8,0.1,11.0,17.2,0.0,27.0,19.6
2023-06-08T11:00Z,2.3,0.0,21.8,0.1,10.9,17.1,0.0,28.3,19.5
2023-06-08T11:30Z,2.3,0.0,20.1,0.1,10.9,17.0,0.0,29.0,20.5
2023-06-08T12:00Z,2.3,0.0,19.5,0.1,10.7,16.9,0.0,29.1,21.4
2023-06-08T12:30Z,2.3,0.0,22.8,0.1,6.5,17.0,0.0,29.2,22.1
2023-06-08T13:00Z,2.3,0.0,22.6,0.1,6.3,17.1,0.0,28.6,23.1
2023-06-08T13:30Z,2.2,0.0,26.5,0.1,2.6,17.1,0.0,27.4,24.0
2023-06-08T14:00Z,2.2,0.0,27.6,0.1,2.5,16.9,0.0,25.5,25.1
2023-06-08T14:30Z,2.2,0.0,27.7,0.2,2.5,16.8,0.0,25.5,25.2
2023-06-08T15:00Z,1.9,0.0,30.5,0.2,3.2,16.4,0.0,22.8,25.0
2023-06-08T15:30Z,1.9,0.0,31.1,0.1,3.8,16.3,0.0,20.8,25.9
2023-06-08T16:00Z,1.5,0.0,39.8,0.1,2.4,15.5,0.0,16.6,24.0
2023-06-08T16:30Z,2.4,0.0,37.8,0.5,2.6,16.8,0.0,12.2,27.7
2023-06-08T17:00Z,2.4,0.0,38.1,0.7,3.9,16.8,0.0,9.8,28.3
2023-06-08T17:30Z,2.4,0.0,39.1,0.8,5.2,16.6,0.0,7.1,28.8
2023-06-08T18:00Z,2.4,0.0,40.1,0.6,5.4,16.8,0.0,5.0,29.6
2023-06-08T18:30Z,2.4,0.0,40.7,0.6,5.1,17.1,0.0,3.2,30.8
2023-06-08T19:00Z,2.4,0.0,40.4,0.7,5.0,17.2,0.0,1.8,32.4
2023-06-08T19:30Z,2.5,0.0,41.8,0.9,2.1,17.7,0.0,0.7,34.3
2023-06-08T20:00Z,2.5,0.0,41.1,0.7,1.9,17.9,0.0,0.2,35.7
2023-06-08T20:30Z,2.5,0.0,40.8,0.3,1.6,17.9,0.0,0.2,36.6
2023-06-08T21:00Z,2.5,0.0,38.3,0.2,1.7,18.3,0.0,0.1,38.9
2023-06-08T21:30Z,2.7,0.0,33.3,0.2,2.5,19.6,0.0,0.0,41.6
2023-06-08T22:00Z,2.9,0.0,29.8,0.2,2.6,21.0,0.0,0.0,43.4
2023-06-08T22:30Z,3.0,0.0,29.2,0.2,1.3,22.0,0.0,0.0,44.3
2023-06-08T23:00Z,3.1,0.0,27.8,0.2,1.1,22.6,0.0,0.0,45.1
2023-06-08T23:30Z,3.2,0.0,26.9,0.2,0.9,23.1,0.0,0.0,45.6
2023-06-09T00:00Z,3.2,0.0,27.2,0.2,1.0,23.3,0.0,0.4,44.7
2023-06-09T00:30Z,3.4,0.0,25.3,0.2,0.4,24.3,0.0,0.0,46.4
2023-06-09T01:00Z,3.5,0.0,24.6,0.2,0.2,24.9,0.0,0.0,46.5
2023-06-09T01:30Z,3.5,0.0,25.2,0.2,0.1,25.3,0.0,0.0,45.6
2023-06-09T02:00Z,3.5,0.0,26.7,0.2,1.1,25.3,0.0,0.0,43.1
2023-06-09T02:30Z,3.5,0.0,26.8,0.2,2.2,25.1,0.0,0.0,42.2
2023-06-09T03:00Z,3.5,0.0,25.9,0.2,2.4,25.1,0.0,0.6,42.4
2023-06-09T03:30Z,3.4,0.0,26.6,0.2,2.8,24.6,0.0,0.6,41.8
2023-06-09T04:00Z,3.3,0.0,27.2,0.3,3.6,24.1,0.0,0.6,40.9
2023-06-09T04:30Z,3.3,0.0,27.4,0.3,4.7,23.4,0.0,1.7,39.2
2023-06-09T05:00Z,3.3,0.0,27.6,0.3,4.8,23.0,0.0,1.7,39.4
2023-06-09T05:30Z,3.0,0.0,27.2,0.3,5.7,22.6,0.0,3.9,37.2
