from,biomass,coal,gas,hydro,imports,nuclear,other,solar,wind
2023-08-03T23:00Z,6.6,0.0,30.5,0.8,10.6,13.2,0.0,0.0,38.4
2023-08-03T23:30Z,6.6,0.0,33.0,0.4,8.1,13.3,0.0,0.0,38.5
2023-08-04T00:00Z,6.6,0.0,32.1,0.4,8.0,13.4,0.0,0.0,39.5
2023-08-04T00:30Z,6.6,0.0,31.2,0.4,8.8,13.4,0.0,0.0,39.5
2023-08-04T01:00Z,6.4,0.0,30.2,0.4,8.9,13.5,0.0,0.0,40.4
2023-08-04T01:30Z,6.5,0.0,29.2,0.4,10.4,13.6,0.0,0.0,39.9
2023-08-04T02:00Z,6.6,0.0,28.1,0.4,10.4,13.7,0.0,0.0,40.6
2023-08-04T02:30Z,6.7,0.0,30.0,0.4,9.4,13.6,0.0,0.0,39.9
2023-08-04T03:00Z,6.7,0.0,30.3,0.5,9.5,13.6,0.0,0.0,39.3
2023-08-04T03:30Z,6.6,0.0,31.7,0.6,10.8,13.3,0.0,0.0,36.9
2023-08-04T04:00Z,6.5,0.0,32.9,0.7,10.7,13.1,0.0,0.0,36.2
2023-08-04T04:30Z,6.1,0.0,37.5,0.9,9.1,12.3,0.0,0.0,34.1
2023-08-04T05:00Z,5.9,0.0,39.2,1.9,8.7,11.8,0.0,0.4,32.0
2023-08-04T05:30Z,5.5,0.0,40.6,3.0,9.8,11.1,0.0,1.2,28.8
2023-08-04T06:00Z,5.3,0.0,41.8,3.5,9.7,10.8,0.0,2.3,26.6
2023-08-04T06:30Z,5.2,0.0,39.8,3.6,11.8,10.5,0.0,3.3,25.8
2023-08-04T07:00Z,5.0,0.0,40.0,3.6,11.5,10.1,0.0,4.7,25.2
2023-08-04T07:30Z,4.9,0.0,38.7,3.5,12.8,9.9,0.0,6.2,23.9
2023-08-04T08:00Z,4.8,0.0,39.9,3.0,12.8,9.8,0.0,7.2,22.5
2023-08-04T08:30Z,4.8,0.0,38.6,2.4,14.6,9.6,0.0,8.4,21.6
2023-08-04T09:00Z,4.7,0.0,39.6,1.6,14.7,9.6,0.0,9.5,20.2
2023-08-04T09:30Z,4.7,0.0,38.3,0.9,16.6,9.5,0.0,11.0,18.9
2023-08-04T10:00Z,4.7,0.0,37.4,0.6,16.4,9.6,0.0,12.6,18.7
2023-08-04T10:30Z,4.7,0.0,36.9,0.6,15.8,9.6,0.0,13.7,18.7
2023-08-04T11:00Z,4.8,0.0,37.7,0.5,15.5,9.6,0.0,14.6,17.4
2023-08-04T11:30Z,4.7,0.0,38.0,0.4,15.5,9.7,0.0,15.7,16.0
2023-08-04T12:00Z,4.8,0.0,37.7,0.5,15.5,9.8,0.0,16.6,15.1
2023-08-04T12:30Z,4.9,0.0,37.7,0.5,15.2,9.9,0.0,17.1,14.7
2023-08-04T13:00Z,4.9,0.0,37.6,0.5,14.8,10.0,0.0,17.1,15.1
2023-08-04T13:30Z,5.0,0.1,38.1,0.5,15.3,10.0,0.0,16.3,14.7
2023-08-04T14:00Z,5.0,0.3,40.2,0.6,15.2,10.0,0.0,15.2,13.5
2023-08-04T14:30Z,5.0,0.6,42.5,0.8,15.1,10.0,0.0,13.8,12.2
2023-08-04T15:00Z,4.9,0.8,43.4,1.6,16.3,9.8,0.0,12.2,11.0
2023-08-04T15:30Z,4.9,0.8,44.1,2.7,17.1,9.8,0.0,10.9,9.7
2023-08-04T16:00Z,5.0,0.8,45.5,3.2,17.5,9.9,0.0,9.5,8.6
2023-08-04T16:30Z,5.2,0.8,48.2,3.7,16.2,10.2,0.0,7.8,8.0
2023-08-04T17:00Z,5.3,0.8,49.4,4.0,16.5,10.5,0.0,5.9,7.6
2023-08-04T17:30Z,5.5,0.9,51.2,4.7,15.7,10.9,0.0,4.1,7.1
2023-08-04T18:00Z,5.7,0.9,52.5,4.8,16.1,11.2,0.0,2.7,6.1
2023-08-04T18:30Z,5.8,1.0,54.5,4.8,15.9,11.5,0.0,1.4,5.0
2023-08-04T19:00Z,5.9,1.1,54.9,4.8,16.8,11.7,0.0,0.4,4.5
2023-08-04T19:30Z,5.9,1.1,55.1,4.7,17.1,11.7,0.0,0.0,4.4
2023-08-04T20:00Z,5.9,1.1,55.7,4.4,17.2,11.8,0.0,0.0,3.9
2023-08-04T20:30Z,6.0,1.0,56.1,3.6,17.2,12.1,0.0,0.0,3.9
2023-08-04T21:00Z,6.1,1.0,56.8,2.9,17.0,12.4,0.0,0.0,3.8
2023-08-04T21:30Z,6.6,1.1,59.5,2.5,13.8,13.3,0.0,0.0,3.4
2023-08-04T22:00Z,6.7,1.1,59.6,2.5,13.4,13.6,0.0,0.0,3.2
2023-08-04T22:30Z,6.8,1.0,59.8,2.2,12.9,14.1,0.0,0.0,3.2
