from,intensity.forecast,intensity.actual
2023-04-03T07:00Z,190,184.0
2023-04-03T07:30Z,178,172.0
2023-04-03T08:00Z,170,164.0
2023-04-03T08:30Z,162,161.0
2023-04-03T09:00Z,156,153.0
2023-04-03T09:30Z,150,151.0
2023-04-03T10:00Z,145,144.0
2023-04-03T10:30Z,146,131.0
2023-04-03T11:00Z,145,124.0
2023-04-03T11:30Z,130,118.0
2023-04-03T12:00Z,128,113.0
2023-04-03T12:30Z,121,118.0
2023-04-03T13:00Z,119,117.0
2023-04-03T13:30Z,123,127.0
2023-04-03T14:00Z,117,134.0
2023-04-03T14:30Z,132,135.0
2023-04-03T15:00Z,140,146.0
2023-04-03T15:30Z,138,155.0
2023-04-03T16:00Z,155,165.0
2023-04-03T16:30Z,168,171.0
2023-04-03T17:00Z,178,180.0
2023-04-03T17:30Z,182,186.0
2023-04-03T18:00Z,182,189.0
2023-04-03T18:30Z,186,189.0
2023-04-03T19:00Z,183,182.0
2023-04-03T19:30Z,180,183.0
2023-04-03T20:00Z,175,184.0
2023-04-03T20:30Z,181,188.0
2023-04-03T21:00Z,182,179.0
2023-04-03T21:30Z,179,168.0
2023-04-03T22:00Z,174,164.0
2023-04-03T22:30Z,172,161.0
2023-04-03T23:00Z,167,167.0
2023-04-03T23:30Z,162,171.0
2023-04-04T00:00Z,171,179.0
2023-04-04T00:30Z,174,179.0
2023-04-04T01:00Z,173,180.0
2023-04-04T01:30Z,178,185.0
2023-04-04T02:00Z,179,188.0
2023-04-04T02:30Z,175,197.0
2023-04-04T03:00Z,179,201.0
2023-04-04T03:30Z,203,216.0
2023-04-04T04:00Z,208,222.0
2023-04-04T04:30Z,227,231.0
2023-04-04T05:00Z,234,237.0
2023-04-04T05:30Z,241,234.0
2023-04-04T06:00Z,253,
2023-04-04T06:30Z,256,
