from,intensity.forecast,intensity.actual
2023-04-21T10:00Z,135,135
2023-04-21T10:30Z,130,135
2023-04-21T11:00Z,135,135
2023-04-21T11:30Z,126,137
2023-04-21T12:00Z,131,135
2023-04-21T12:30Z,139,132
2023-04-21T13:00Z,134,129
2023-04-21T13:30Z,137,126
2023-04-21T14:00Z,133,129
2023-04-21T14:30Z,133,135
2023-04-21T15:00Z,132,145
2023-04-21T15:30Z,144,174
2023-04-21T16:00Z,157,184
2023-04-21T16:30Z,176,190
2023-04-21T17:00Z,189,197
2023-04-21T17:30Z,195,191
2023-04-21T18:00Z,209,187
2023-04-21T18:30Z,195,192
2023-04-21T19:00Z,191,193
2023-04-21T19:30Z,194,201
2023-04-21T20:00Z,196,198
2023-04-21T20:30Z,204,202
2023-04-21T21:00Z,199,199
2023-04-21T21:30Z,198,179
2023-04-21T22:00Z,194,169
2023-04-21T22:30Z,167,160
2023-04-21T23:00Z,168,161
2023-04-21T23:30Z,156,166
2023-04-22T00:00Z,159,169
2023-04-22T00:30Z,168,162
2023-04-22T01:00Z,170,161
2023-04-22T01:30Z,163,162
2023-04-22T02:00Z,165,161
2023-04-22T02:30Z,159,165
2023-04-22T03:00Z,168,166
2023-04-22T03:30Z,168,162
2023-04-22T04:00Z,168,157
2023-04-22T04:30Z,165,151
2023-04-22T05:00Z,163,160
2023-04-22T05:30Z,186,161
2023-04-22T06:00Z,154,162
2023-04-22T06:30Z,168,163
2023-04-22T07:00Z,154,159
2023-04-22T07:30Z,162,156
2023-04-22T08:00Z,157,152
2023-04-22T08:30Z,158,147
2023-04-22T09:00Z,152,141
2023-04-22T09:30Z,144,139
