from,intensity.forecast,intensity.actual
2023-05-07T03:30Z,147,145.0
2023-05-07T04:00Z,152,143.0
2023-05-07T04:30Z,150,147.0
2023-05-07T05:00Z,153,151.0
2023-05-07T05:30Z,153,157.0
2023-05-07T06:00Z,159,162.0
2023-05-07T06:30Z,170,167.0
2023-05-07T07:00Z,173,168.0
2023-05-07T07:30Z,170,165.0
2023-05-07T08:00Z,167,162.0
2023-05-07T08:30Z,167,162.0
2023-05-07T09:00Z,161,161.0
2023-05-07T09:30Z,165,153.0
2023-05-07T10:00Z,160,133.0
2023-05-07T10:30Z,154,143.0
2023-05-07T11:00Z,149,140.0
2023-05-07T11:30Z,143,132.0
2023-05-07T12:00Z,135,53.0
2023-05-07T12:30Z,133,119.0
2023-05-07T13:00Z,121,118.0
2023-05-07T13:30Z,121,113.0
2023-05-07T14:00Z,129,5.0
2023-05-07T14:30Z,121,113.0
2023-05-07T15:00Z,128,122.0
2023-05-07T15:30Z,120,126.0
2023-05-07T16:00Z,129,0.0
2023-05-07T16:30Z,129,145.0
2023-05-07T17:00Z,142,155.0
2023-05-07T17:30Z,152,156.0
2023-05-07T18:00Z,156,0.0
2023-05-07T18:30Z,160,163.0
2023-05-07T19:00Z,162,167.0
2023-05-07T19:30Z,167,166.0
2023-05-07T20:00Z,164,0.0
2023-05-07T20:30Z,160,163.0
2023-05-07T21:00Z,143,157.0
2023-05-07T21:30Z,145,123.0
2023-05-07T22:00Z,124,0.0
2023-05-07T22:30Z,118,117.0
2023-05-07T23:00Z,114,121.0
2023-05-07T23:30Z,114,111.0
2023-05-08T00:00Z,117,0.0
2023-05-08T00:30Z,107,107.0
2023-05-08T01:00Z,105,113.0
2023-05-08T01:30Z,109,107.0
2023-05-08T02:00Z,111,0.0
2023-05-08T02:30Z,109,107.0
2023-05-08T03:00Z,111,
