from,intensity.forecast,intensity.actual
2023-04-10T12:30Z,46,40.0
2023-04-10T13:00Z,38,38.0
2023-04-10T13:30Z,36,32.0
2023-04-10T14:00Z,39,32.0
2023-04-10T14:30Z,34,32.0
2023-04-10T15:00Z,34,35.0
2023-04-10T15:30Z,39,42.0
2023-04-10T16:00Z,38,43.0
2023-04-10T16:30Z,42,50.0
2023-04-10T17:00Z,45,58.0
2023-04-10T17:30Z,54,68.0
2023-04-10T18:00Z,57,75.0
2023-04-10T18:30Z,64,72.0
2023-04-10T19:00Z,69,67.0
2023-04-10T19:30Z,71,64.0
2023-04-10T20:00Z,63,60.0
2023-04-10T20:30Z,60,69.0
2023-04-10T21:00Z,56,64.0
2023-04-10T21:30Z,49,61.0
2023-04-10T22:00Z,56,54.0
2023-04-10T22:30Z,53,69.0
2023-04-10T23:00Z,61,69.0
2023-04-10T23:30Z,67,74.0
2023-04-11T00:00Z,56,76.0
2023-04-11T00:30Z,70,74.0
2023-04-11T01:00Z,71,69.0
2023-04-11T01:30Z,70,72.0
2023-04-11T02:00Z,65,71.0
2023-04-11T02:30Z,72,63.0
2023-04-11T03:00Z,67,62.0
2023-04-11T03:30Z,72,71.0
2023-04-11T04:00Z,63,79.0
2023-04-11T04:30Z,73,93.0
2023-04-11T05:00Z,82,114.0
2023-04-11T05:30Z,77,123.0
2023-04-11T06:00Z,109,125.0
2023-04-11T06:30Z,104,119.0
2023-04-11T07:00Z,82,111.0
2023-04-11T07:30Z,94,95.0
2023-04-11T08:00Z,118,88.0
2023-04-11T08:30Z,97,76.0
2023-04-11T09:00Z,88,76.0
2023-04-11T09:30Z,81,77.0
2023-04-11T10:00Z,81,77.0
2023-04-11T10:30Z,84,74.0
2023-04-11T11:00Z,91,77.0
2023-04-11T11:30Z,84,88.0
2023-04-11T12:00Z,83,
