from,intensity.forecast,intensity.actual
2023-07-30T04:30Z,84,
2023-07-30T05:00Z,81,
2023-07-30T05:30Z,77,
2023-07-30T06:00Z,76,
2023-07-30T06:30Z,74,
2023-07-30T07:00Z,69,
2023-07-30T07:30Z,66,
2023-07-30T08:00Z,63,
2023-07-30T08:30Z,63,
2023-07-30T09:00Z,63,
2023-07-30T09:30Z,60,
2023-07-30T10:00Z,60,
2023-07-30T10:30Z,61,
2023-07-30T11:00Z,61,
2023-07-30T11:30Z,61,
2023-07-30T12:00Z,61,
2023-07-30T12:30Z,61,
2023-07-30T13:00Z,62,
2023-07-30T13:30Z,65,
2023-07-30T14:00Z,66,
2023-07-30T14:30Z,67,
2023-07-30T15:00Z,62,
2023-07-30T15:30Z,61,
2023-07-30T16:00Z,64,
2023-07-30T16:30Z,70,
2023-07-30T17:00Z,82,
2023-07-30T17:30Z,89,
2023-07-30T18:00Z,95,
2023-07-30T18:30Z,100,
2023-07-30T19:00Z,101,
2023-07-30T19:30Z,100,
2023-07-30T20:00Z,99,
2023-07-30T20:30Z,94,
2023-07-30T21:00Z,88,
2023-07-30T21:30Z,82,
2023-07-30T22:00Z,79,
2023-07-30T22:30Z,79,
2023-07-30T23:00Z,81,
2023-07-30T23:30Z,81,
2023-07-31T00:00Z,84,
2023-07-31T00:30Z,84,
2023-07-31T01:00Z,87,
2023-07-31T01:30Z,91,
2023-07-31T02:00Z,97,
2023-07-31T02:30Z,103,
2023-07-31T03:00Z,105,
2023-07-31T03:30Z,106,
2023-07-31T04:00Z,109,
2023-07-31T04:30Z,111,
2023-07-31T05:00Z,115,
2023-07-31T05:30Z,116,
2023-07-31T06:00Z,118,
2023-07-31T06:30Z,124,
2023-07-31T07:00Z,125,
2023-07-31T07:30Z,129,
2023-07-31T08:00Z,128,
2023-07-31T08:30Z,127,
2023-07-31T09:00Z,124,
2023-07-31T09:30Z,122,
2023-07-31T10:00Z,122,
2023-07-31T10:30Z,121,
2023-07-31T11:00Z,120,
2023-07-31T11:30Z,120,
2023-07-31T12:00Z,118,
2023-07-31T12:30Z,115,
2023-07-31T13:00Z,116,
2023-07-31T13:30Z,114,
2023-07-31T14:00Z,111,
2023-07-31T14:30Z,107,
2023-07-31T15:00Z,107,
2023-07-31T15:30Z,107,
2023-07-31T16:00Z,113,
2023-07-31T16:30Z,121,
2023-07-31T17:00Z,131,
2023-07-31T17:30Z,136,
2023-07-31T18:00Z,137,
2023-07-31T18:30Z,140,
2023-07-31T19:00Z,138,
2023-07-31T19:30Z,140,
2023-07-31T20:00Z,140,
2023-07-31T20:30Z,144,
2023-07-31T21:00Z,139,
2023-07-31T21:30Z,130,
2023-07-31T22:00Z,125,
2023-07-31T22:30Z,114,
2023-07-31T23:00Z,111,
2023-07-31T23:30Z,110,
2023-08-01T00:00Z,112,
2023-08-01T00:30Z,108,
2023-08-01T01:00Z,107,
2023-08-01T01:30Z,109,
2023-08-01T02:00Z,111,
2023-08-01T02:30Z,118,
2023-08-01T03:00Z,120,
2023-08-01T03:30Z,123,
2023-08-01T04:00Z,124,
