from,intensity.forecast,intensity.actual
2023-03-28T14:00Z,137,
2023-03-28T14:30Z,136,
2023-03-28T15:00Z,140,
2023-03-28T15:30Z,144,
2023-03-28T16:00Z,148,
2023-03-28T16:30Z,151,
2023-03-28T17:00Z,155,
2023-03-28T17:30Z,158,
2023-03-28T18:00Z,159,
2023-03-28T18:30Z,162,
2023-03-28T19:00Z,163,
2023-03-28T19:30Z,160,
2023-03-28T20:00Z,159,
2023-03-28T20:30Z,152,
2023-03-28T21:00Z,143,
2023-03-28T21:30Z,126,
2023-03-28T22:00Z,120,
2023-03-28T22:30Z,112,
2023-03-28T23:00Z,113,
2023-03-28T23:30Z,111,
2023-03-29T00:00Z,112,
2023-03-29T00:30Z,111,
2023-03-29T01:00Z,110,
2023-03-29T01:30Z,116,
2023-03-29T02:00Z,119,
2023-03-29T02:30Z,115,
2023-03-29T03:00Z,119,
2023-03-29T03:30Z,126,
2023-03-29T04:00Z,133,
2023-03-29T04:30Z,147,
2023-03-29T05:00Z,160,
2023-03-29T05:30Z,178,
2023-03-29T06:00Z,183,
2023-03-29T06:30Z,184,
2023-03-29T07:00Z,183,
2023-03-29T07:30Z,178,
2023-03-29T08:00Z,171,
2023-03-29T08:30Z,164,
2023-03-29T09:00Z,153,
2023-03-29T09:30Z,145,
2023-03-29T10:00Z,138,
2023-03-29T10:30Z,127,
2023-03-29T11:00Z,122,
2023-03-29T11:30Z,113,
2023-03-29T12:00Z,106,
2023-03-29T12:30Z,104,
2023-03-29T13:00Z,101,
2023-03-29T13:30Z,96,
2023-03-29T14:00Z,94,
2023-03-29T14:30Z,93,
2023-03-29T15:00Z,92,
2023-03-29T15:30Z,94,
2023-03-29T16:00Z,97,
2023-03-29T16:30Z,98,
2023-03-29T17:00Z,99,
2023-03-29T17:30Z,101,
2023-03-29T18:00Z,102,
2023-03-29T18:30Z,105,
2023-03-29T19:00Z,105,
2023-03-29T19:30Z,103,
2023-03-29T20:00Z,101,
2023-03-29T20:30Z,99,
2023-03-29T21:00Z,97,
2023-03-29T21:30Z,95,
2023-03-29T22:00Z,95,
2023-03-29T22:30Z,95,
2023-03-29T23:00Z,96,
2023-03-29T23:30Z,95,
2023-03-30T00:00Z,96,
2023-03-30T00:30Z,95,
2023-03-30T01:00Z,97,
2023-03-30T01:30Z,97,
2023-03-30T02:00Z,99,
2023-03-30T02:30Z,99,
2023-03-30T03:00Z,100,
2023-03-30T03:30Z,99,
2023-03-30T04:00Z,100,
2023-03-30T04:30Z,98,
2023-03-30T05:00Z,97,
2023-03-30T05:30Z,96,
2023-03-30T06:00Z,100,
2023-03-30T06:30Z,103,
2023-03-30T07:00Z,100,
2023-03-30T07:30Z,97,
2023-03-30T08:00Z,94,
2023-03-30T08:30Z,89,
2023-03-30T09:00Z,86,
2023-03-30T09:30Z,81,
2023-03-30T10:00Z,79,
2023-03-30T10:30Z,76,
2023-03-30T11:00Z,76,
2023-03-30T11:30Z,74,
2023-03-30T12:00Z,74,
2023-03-30T12:30Z,76,
2023-03-30T13:00Z,78,
2023-03-30T13:30Z,81,
