from,intensity.forecast,intensity.actual
2023-07-30T01:30Z,85,
2023-07-30T02:00Z,83,
2023-07-30T02:30Z,82,
2023-07-30T03:00Z,82,
2023-07-30T03:30Z,84,
2023-07-30T04:00Z,83,
2023-07-30T04:30Z,83,
2023-07-30T05:00Z,82,
2023-07-30T05:30Z,82,
2023-07-30T06:00Z,77,
2023-07-30T06:30Z,73,
2023-07-30T07:00Z,74,
2023-07-30T07:30Z,76,
2023-07-30T08:00Z,75,
2023-07-30T08:30Z,74,
2023-07-30T09:00Z,75,
2023-07-30T09:30Z,76,
2023-07-30T10:00Z,77,
2023-07-30T10:30Z,78,
2023-07-30T11:00Z,81,
2023-07-30T11:30Z,83,
2023-07-30T12:00Z,68,
2023-07-30T12:30Z,68,
2023-07-30T13:00Z,71,
2023-07-30T13:30Z,73,
2023-07-30T14:00Z,77,
2023-07-30T14:30Z,81,
2023-07-30T15:00Z,83,
2023-07-30T15:30Z,87,
2023-07-30T16:00Z,85,
2023-07-30T16:30Z,98,
2023-07-30T17:00Z,103,
2023-07-30T17:30Z,100,
2023-07-30T18:00Z,100,
2023-07-30T18:30Z,103,
2023-07-30T19:00Z,105,
2023-07-30T19:30Z,105,
2023-07-30T20:00Z,102,
2023-07-30T20:30Z,97,
2023-07-30T21:00Z,92,
2023-07-30T21:30Z,87,
2023-07-30T22:00Z,85,
2023-07-30T22:30Z,86,
2023-07-30T23:00Z,87,
2023-07-30T23:30Z,93,
2023-07-31T00:00Z,97,
2023-07-31T00:30Z,97,
2023-07-31T01:00Z,98,
2023-07-31T01:30Z,103,
2023-07-31T02:00Z,107,
2023-07-31T02:30Z,112,
2023-07-31T03:00Z,116,
2023-07-31T03:30Z,117,
2023-07-31T04:00Z,118,
2023-07-31T04:30Z,120,
2023-07-31T05:00Z,122,
2023-07-31T05:30Z,124,
2023-07-31T06:00Z,131,
2023-07-31T06:30Z,136,
2023-07-31T07:00Z,136,
2023-07-31T07:30Z,138,
2023-07-31T08:00Z,135,
2023-07-31T08:30Z,136,
2023-07-31T09:00Z,135,
2023-07-31T09:30Z,134,
2023-07-31T10:00Z,130,
2023-07-31T10:30Z,133,
2023-07-31T11:00Z,132,
2023-07-31T11:30Z,130,
2023-07-31T12:00Z,131,
2023-07-31T12:30Z,129,
2023-07-31T13:00Z,128,
2023-07-31T13:30Z,126,
2023-07-31T14:00Z,127,
2023-07-31T14:30Z,126,
2023-07-31T15:00Z,127,
2023-07-31T15:30Z,127,
2023-07-31T16:00Z,132,
2023-07-31T16:30Z,138,
2023-07-31T17:00Z,142,
2023-07-31T17:30Z,142,
2023-07-31T18:00Z,141,
2023-07-31T18:30Z,143,
2023-07-31T19:00Z,147,
2023-07-31T19:30Z,154,
2023-07-31T20:00Z,156,
2023-07-31T20:30Z,156,
2023-07-31T21:00Z,155,
2023-07-31T21:30Z,149,
2023-07-31T22:00Z,141,
2023-07-31T22:30Z,129,
2023-07-31T23:00Z,126,
2023-07-31T23:30Z,122,
2023-08-01T00:00Z,117,
2023-08-01T00:30Z,120,
2023-08-01T01:00Z,123,
