from,intensity.forecast,intensity.actual
2023-06-13T15:00Z,145,
2023-06-13T15:30Z,154,
2023-06-13T16:00Z,163,
2023-06-13T16:30Z,174,
2023-06-13T17:00Z,180,
2023-06-13T17:30Z,186,
2023-06-13T18:00Z,192,
2023-06-13T18:30Z,188,
2023-06-13T19:00Z,185,
2023-06-13T19:30Z,176,
2023-06-13T20:00Z,174,
2023-06-13T20:30Z,168,
2023-06-13T21:00Z,166,
2023-06-13T21:30Z,154,
2023-06-13T22:00Z,140,
2023-06-13T22:30Z,135,
2023-06-13T23:00Z,137,
2023-06-13T23:30Z,139,
2023-06-14T00:00Z,139,
2023-06-14T00:30Z,138,
2023-06-14T01:00Z,136,
2023-06-14T01:30Z,133,
2023-06-14T02:00Z,133,
2023-06-14T02:30Z,134,
2023-06-14T03:00Z,133,
2023-06-14T03:30Z,130,
2023-06-14T04:00Z,126,
2023-06-14T04:30Z,121,
2023-06-14T05:00Z,130,
2023-06-14T05:30Z,126,
2023-06-14T06:00Z,133,
2023-06-14T06:30Z,139,
2023-06-14T07:00Z,136,
2023-06-14T07:30Z,131,
2023-06-14T08:00Z,122,
2023-06-14T08:30Z,119,
2023-06-14T09:00Z,109,
2023-06-14T09:30Z,102,
2023-06-14T10:00Z,99,
2023-06-14T10:30Z,99,
2023-06-14T11:00Z,93,
2023-06-14T11:30Z,94,
2023-06-14T12:00Z,94,
2023-06-14T12:30Z,92,
2023-06-14T13:00Z,90,
2023-06-14T13:30Z,94,
2023-06-14T14:00Z,92,
2023-06-14T14:30Z,100,
2023-06-14T15:00Z,105,
2023-06-14T15:30Z,112,
2023-06-14T16:00Z,122,
2023-06-14T16:30Z,132,
2023-06-14T17:00Z,139,
2023-06-14T17:30Z,143,
2023-06-14T18:00Z,150,
2023-06-14T18:30Z,153,
2023-06-14T19:00Z,157,
2023-06-14T19:30Z,157,
2023-06-14T20:00Z,159,
2023-06-14T20:30Z,150,
2023-06-14T21:00Z,152,
2023-06-14T21:30Z,150,
2023-06-14T22:00Z,147,
2023-06-14T22:30Z,136,
2023-06-14T23:00Z,133,
2023-06-14T23:30Z,133,
2023-06-15T00:00Z,134,
2023-06-15T00:30Z,136,
2023-06-15T01:00Z,136,
2023-06-15T01:30Z,141,
2023-06-15T02:00Z,146,
2023-06-15T02:30Z,147,
2023-06-15T03:00Z,154,
2023-06-15T03:30Z,162,
2023-06-15T04:00Z,164,
2023-06-15T04:30Z,169,
2023-06-15T05:00Z,179,
2023-06-15T05:30Z,180,
2023-06-15T06:00Z,184,
2023-06-15T06:30Z,185,
2023-06-15T07:00Z,179,
2023-06-15T07:30Z,174,
2023-06-15T08:00Z,168,
2023-06-15T08:30Z,162,
2023-06-15T09:00Z,157,
2023-06-15T09:30Z,151,
2023-06-15T10:00Z,145,
2023-06-15T10:30Z,138,
2023-06-15T11:00Z,138,
2023-06-15T11:30Z,135,
2023-06-15T12:00Z,133,
2023-06-15T12:30Z,129,
2023-06-15T13:00Z,129,
2023-06-15T13:30Z,131,
2023-06-15T14:00Z,134,
2023-06-15T14:30Z,138,
