from,intensity.forecast,intensity.actual
2023-06-27T02:30Z,198,
2023-06-27T03:00Z,201,
2023-06-27T03:30Z,204,
2023-06-27T04:00Z,206,
2023-06-27T04:30Z,214,
2023-06-27T05:00Z,218,
2023-06-27T05:30Z,222,
2023-06-27T06:00Z,218,
2023-06-27T06:30Z,216,
2023-06-27T07:00Z,212,
2023-06-27T07:30Z,207,
2023-06-27T08:00Z,199,
2023-06-27T08:30Z,192,
2023-06-27T09:00Z,188,
2023-06-27T09:30Z,181,
2023-06-27T10:00Z,174,
2023-06-27T10:30Z,169,
2023-06-27T11:00Z,167,
2023-06-27T11:30Z,165,
2023-06-27T12:00Z,163,
2023-06-27T12:30Z,153,
2023-06-27T13:00Z,155,
2023-06-27T13:30Z,157,
2023-06-27T14:00Z,161,
2023-06-27T14:30Z,163,
2023-06-27T15:00Z,167,
2023-06-27T15:30Z,171,
2023-06-27T16:00Z,175,
2023-06-27T16:30Z,179,
2023-06-27T17:00Z,183,
2023-06-27T17:30Z,186,
2023-06-27T18:00Z,189,
2023-06-27T18:30Z,187,
2023-06-27T19:00Z,188,
2023-06-27T19:30Z,189,
2023-06-27T20:00Z,184,
2023-06-27T20:30Z,181,
2023-06-27T21:00Z,177,
2023-06-27T21:30Z,167,
2023-06-27T22:00Z,162,
2023-06-27T22:30Z,160,
2023-06-27T23:00Z,162,
2023-06-27T23:30Z,163,
2023-06-28T00:00Z,167,
2023-06-28T00:30Z,171,
2023-06-28T01:00Z,171,
2023-06-28T01:30Z,175,
2023-06-28T02:00Z,183,
2023-06-28T02:30Z,187,
2023-06-28T03:00Z,189,
2023-06-28T03:30Z,196,
2023-06-28T04:00Z,202,
2023-06-28T04:30Z,213,
2023-06-28T05:00Z,210,
2023-06-28T05:30Z,214,
2023-06-28T06:00Z,213,
2023-06-28T06:30Z,212,
2023-06-28T07:00Z,210,
2023-06-28T07:30Z,211,
2023-06-28T08:00Z,209,
2023-06-28T08:30Z,205,
2023-06-28T09:00Z,202,
2023-06-28T09:30Z,199,
2023-06-28T10:00Z,198,
2023-06-28T10:30Z,198,
2023-06-28T11:00Z,196,
2023-06-28T11:30Z,195,
2023-06-28T12:00Z,192,
2023-06-28T12:30Z,189,
2023-06-28T13:00Z,188,
2023-06-28T13:30Z,188,
2023-06-28T14:00Z,189,
2023-06-28T14:30Z,190,
2023-06-28T15:00Z,190,
2023-06-28T15:30Z,189,
2023-06-28T16:00Z,192,
2023-06-28T16:30Z,193,
2023-06-28T17:00Z,197,
2023-06-28T17:30Z,200,
2023-06-28T18:00Z,205,
2023-06-28T18:30Z,210,
2023-06-28T19:00Z,214,
2023-06-28T19:30Z,218,
2023-06-28T20:00Z,222,
2023-06-28T20:30Z,227,
2023-06-28T21:00Z,228,
2023-06-28T21:30Z,230,
2023-06-28T22:00Z,228,
2023-06-28T22:30Z,231,
2023-06-28T23:00Z,229,
2023-06-28T23:30Z,229,
2023-06-29T00:00Z,229,
2023-06-29T00:30Z,227,
2023-06-29T01:00Z,225,
2023-06-29T01:30Z,222,
2023-06-29T02:00Z,221,
